Designator,Footprint,Comment,Layer,Mid X,Mid Y,Rotation,,,,
U3,OLMX-ESP-WROOM-32,ESP-WROOM-32 (16MB),TOP,50.00,82.50,360.00,,,,
P11,PAD_C,PAD,TOP,90.51,27.73,331.20,,,,
P10,PAD_C,PAD,TOP,94.78,38.50,345.60,,,,
P9,PAD_C,PAD,TOP,96.23,50.00,360.00,,,,
P8,PAD_C,PAD,TOP,94.78,61.50,14.40,,,,
P7,PAD_C,PAD,TOP,90.51,72.27,28.80,,,,
P6,PAD_C,PAD,TOP,9.49,72.27,151.20,,,,
P5,PAD_C,PAD,TOP,5.22,61.50,165.55,,,,
P4,PAD_C,PAD,TOP,3.77,50.00,180.00,,,,
P3,PAD_C,PAD,TOP,5.22,38.50,194.40,,,,
P2,PAD_C,PAD,TOP,9.49,27.73,208.80,,,,
Up1,SMTC-SSQ-108-01-X-S,SSQ-108-01-G-S,BOT,27.14,50.00,90.00,,,,
U6,FRES-SOT1676-1_V,MMA8452QT,TOP,69.00,86.58,270.00,,,,
U5,SOT-23-OT5_N,MCP73831T-5ACI/OT,TOP,63.80,21.58,180.00,,,,
U4,DCY0004A_N,LM1117MPX-3.3/NOPB,TOP,50.00,13.58,270.00,,,,
U2,SLAB-QFN-24-2675x2675TP_M,CP2104-F03-GM,TOP,38.95,13.58,0.00,,,,
U1,BOSC-BME280-8_V,BME280,TOP,69.00,81.75,180.00,,,,
S1,SMT_SW_PTS_820,PTS820J25MSMTRLFS,TOP,33.50,74.77,90.00,,,,
R15,RESC2013X60X30NL20T20,RK73B2ATTD103J,TOP,62.50,85.05,180.00,,,,
R14,RESC2013X60X30NL20T20,RC0805JR-074K7L,TOP,63.80,13.58,270.00,,,,
R13,RESC2013X70X40NL20T20,ERJ-P06J102V,TOP,67.39,13.58,270.00,,,,
R12,RESC2013X60X30NL20T20,RK73B2ATTD103J,TOP,36.00,48.73,360.00,,,,
R11,RESC2013X60X40ML20T25,ERA6AEB104V,TOP,43.91,4.50,270.00,,,,
R10,RESC2013X60X30NL20T20,RK73B2ATTD103J,TOP,29.00,88.48,180.00,,,,
R9,RESC2013X60X30NL20T20,RK73B2ATTD103J,TOP,33.50,81.57,360.00,,,,
R8,RESC2013X60X30NL20T20,RK73B2ATTD103J,TOP,38.95,91.91,90.00,,,,
R7,RESC2013X60X30NL20T20,RC0805JR-074K7L,TOP,69.00,78.19,180.00,,,,
R6,RESC2013X60X30NL20T20,RC0805JR-074K7L,TOP,62.50,78.19,180.00,,,,
R5,RESC2013X60X40NL20T25,ERA6AEB104V,TOP,56.90,64.50,270.00,,,,
R4,RESC2013X60X30NL20T20,RK73B2ATTD103J,TOP,62.50,91.91,180.00,,,,
R3,RESC2013X60X30NL20T20,RK73B2ATTD103J,TOP,62.50,88.48,180.00,,,,
R2,RESC2013X70X40NL20T20,ERJ-P06J102V,TOP,25.50,74.77,270.00,,,,
R1,RESC2013X60X40NL20T25,ERA6AEB104V,TOP,43.91,64.50,90.00,,,,
Q3,INF-PG-TSDSON-8-1_V,BSZ086P03NS3 G,TOP,63.84,27.88,180.00,,,,
Q2,ONSC-SOT-23-3-318-08_V,MMBT2222ALT1G,TOP,33.50,88.48,90.00,,,,
Q1,ONSC-SOT-23-3-318-08_V,MMBT2222ALT1G,TOP,29.00,81.57,270.00,,,,
P1,JST-_S2B-PH-SM4-TB(LF)(SN)-2_V,S2B-PH-SM4-TB(LF)(SN),TOP,84.79,20.54,50.00,,,,
LED1,1206_A,150120VS75000,TOP,22.00,74.77,270.00,,,,
Jumper1,RESC2013X60X40NL20T25_A,,TOP,62.50,81.57,360.00,,,,
J1,FCI-10118194-0001LF-5_V,10118194-0001LF,TOP,50.00,2.90,360.00,,,,
IC1,21-0042B_24-M,MAX7219CWG+,TOP,50.13,48.98,180.00,,,,
Dw1,SMTC-SSQ-108-01-X-S,SSQ-108-01-G-S,BOT,72.86,50.00,270.00,,,,
DS1,LTST-C150KSKT_V,LTST-C150KSKT,TOP,60.21,4.50,360.00,,,,
D1,ONSC-SOD-123FL-2-498_V,MBR120ESFT1G,TOP,56.90,27.88,270.00,,,,
C14,CAPC2013X140X50NL20T25,08053D475KAT2A,TOP,69.00,74.77,180.00,,,,
C13,CAPC2013X145X50NL20T25,C0805C104J5RAC7800,TOP,69.00,71.34,180.00,,,,
C12,CAPC2013X145X50NL20T25,C0805C104J5RAC7800,TOP,69.00,91.91,0.00,,,,
C11,CAPC2013X140X50NL20T25,C0805C106K4PACTU,TOP,71.00,21.58,270.00,,,,
C10,CAPC2013X145X50NL20T25,C0805C104J5RAC7800,TOP,36.00,51.97,0.00,,,,
C9,CAPC2013X145X50NL20T25,C0805C104J5RAC7800,TOP,36.00,55.21,0.00,,,,
C8,CAPC2013X140X50ML20T25,C0805C106K4PACTU,TOP,29.00,13.58,270.00,,,,
C7,CAPC2013X145X50ML20T25,C0805C105K4RAC7800,TOP,33.10,13.58,270.00,,,,
C6,KEMT-A-3216-18-2_N,T491A106K016AT,TOP,56.90,13.58,270.00,,,,
C5,KEMT-A-3216-18-2_N,T491A106K016AT,TOP,43.91,13.58,270.00,,,,
C4,CAPC2013X145X50NL20T25,C0805C105K4RAC7800,TOP,29.00,74.77,270.00,,,,
C3,CAPC2013X140X50NL20T25,C0805C106K4PACTU,TOP,60.21,13.58,90.00,,,,
C2,CAPC2013X145X50NL20T25,C0805C104J5RAC7800,TOP,62.50,71.34,180.00,,,,
C1,CAPC2013X145X50NL20T25,C0805C104J5RAC7800,TOP,62.50,74.77,180.00,,,,
